subject_topic,digital_origin,subject_topic 2,identifier,language_of_cataloging,public_note,item_type,form,date_text,date_single_start,project_title,project_abstract,title,title_initial_article,rights,repository,record_source,name,language,place_of_origin,publisher
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_1948spring,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,1948 Spring,1948-21,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",One hundred and forty-first annual commencement of The University of Tennessee,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_1997summer,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,1997 Summer,1997-22,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",Seventy-fifth annual commencement of the summer semester of The University of Tennessee Knoxville,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_1976winter,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,1976 Winter,1976-24,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",March commencement of The University of Tennessee Knoxville ,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_1928spring,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,1928 Spring,1928-21,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",One hundred and thirty-fourth annual commencement ,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_1993fall,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,1993 Fall,1993-23,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",December commencement of The University of Tennessee Knoxville,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_1973summer,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,1973 Summer,1973-22,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",Fifty-first annual commencement of the summer quarter of The University of Tennessee Knoxville,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_1987winter,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,1987 Winter,1987-24,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",March commencement of The University of Tennessee Knoxville,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_1960fall,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,1960 Fall,1960-23,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",December commencement of The University of Tennessee,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_2005spring,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,2005 Spring,2005-21,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",Annual commencement of The University of Tennessee,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_1953summer,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,1953 Summer,1953-22,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",Thirty-first annual commencement of the summer quarter of The University of Tennessee,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
University of Tennessee (Knoxville campus)--Degrees--Periodicals,reformatted digital,University of Tennessee (Knoxville campus)--Alumni and alumnae--Directories,comm_1958fall,eng,Publications for students,text,printed ephemera | http://vocab.getty.edu/aat/300264821,1958 Fall,1958-23,University of Tennessee Commencement Programs,"The University of Tennessee Commencement, with over two centuries of traditions behind it, is the formal ceremony that publicly recognizes graduate candidates and confers degrees upon them. The commencement programs featured in this collection range from 1841 to the present and will continue with programs from upcoming years.",December commencement of The University of Tennessee,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville | URI: http://id.loc.gov/authorities/names/n80003889 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",eng,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",The University of Tennessee
